product_type,size,front,back,template_sleeves,sleeveLeft,sleeveRight,template_hood,hood,dpi,unit
COMFORT_TSHIRT1745_PET,M,14x16,14x16,2400x4800px,4x16,4x16,900x600px,3x2,300,inch
COMFORT_TSHIRT1745_PET,L,14x16,14x16,2400x4800px,4x16,4x16,900x600px,3x2,300,inch
COMFORT_TSHIRT1745_PET,XL,14x16,14x16,2400x4800px,4x16,4x16,900x600px,3x2,300,inch
COMFORT_TSHIRT1745_PET,2XL,14x16,14x16,2400x4800px,4x16,4x16,900x600px,3x2,300,inch
COMFORT_TSHIRT1745_PET,3XL,14x16,14x16,2400x4800px,4x16,4x16,900x600px,3x2,300,inch
YOUTH_TSHIRT3001Y_PET,S,8x9,8x9,,,,900x600px,2.5x1,300,inch
YOUTH_TSHIRT3001Y_PET,M,9x10,9x10,,,,900x600px,2.5x1,300,inch
YOUTH_TSHIRT3001Y_PET,L,10x11,10x11,,,,900x600px,2.5x1,300,inch
YOUTH_TSHIRT3001Y_PET,XL,10x11,10x11,,,,900x600px,2.5x1,300,inch
LONGSLEEVE_BC3501_PET,S,14x16,14x16,2400x4800px,4x16,4x16,900x600px,3x2,300,inch
LONGSLEEVE_BC3501_PET,M,14x16,14x16,2400x4800px,4x16,4x16,900x600px,3x2,300,inch
LONGSLEEVE_BC3501_PET,L,14x16,14x16,2400x4800px,4x16,4x16,900x600px,3x2,300,inch
LONGSLEEVE_BC3501_PET,XL,14x16,14x16,2400x4800px,4x16,4x16,900x600px,3x2,300,inch
LONGSLEEVE_BC3501_PET,2XL,14x16,14x16,2400x4800px,4x16,4x16,900x600px,3x2,300,inch
TSHIRT_BC3005_PET,XS,14x16,14x16,2280x1140px,5x5,5x5,900x600px,3x2,300,inch
TSHIRT_BC3005_PET,S,14x16,14x16,2280x1140px,5x5,5x5,900x600px,3x2,300,inch
TSHIRT_BC3005_PET,M,14x16,14x16,2280x1140px,5x5,5x5,900x600px,3x2,300,inch
TSHIRT_BC3005_PET,L,14x16,14x16,2280x1140px,5x5,5x5,900x600px,3x2,300,inch
TSHIRT_BC3005_PET,XL,14x16,14x16,2280x1140px,5x5,5x5,900x600px,3x2,300,inch
TSHIRT_BC3005_PET,2XL,14x16,14x16,2280x1140px,5x5,5x5,900x600px,3x2,300,inch
TSHIRT_BC3005_PET,3XL,14x16,14x16,2280x1140px,5x5,5x5,900x600px,3x2,300,inch
TSHIRT_NL3600_PET,S,14x16,14x16,2280x1140px,5x5,5x5,900x600px,3x2,300,inch
TSHIRT_NL3600_PET,M,14x16,14x16,2280x1140px,5x5,5x5,900x600px,3x2,300,inch
TSHIRT_NL3600_PET,L,14x16,14x16,2280x1140px,5x5,5x5,900x600px,3x2,300,inch
TSHIRT_NL3600_PET,XL,14x16,14x16,2280x1140px,5x5,5x5,900x600px,3x2,300,inch
TSHIRT_NL3600_PET,2XL,14x16,14x16,2280x1140px,5x5,5x5,900x600px,3x2,300,inch
TSHIRT_NL3600_PET,3XL,14x16,14x16,2280x1140px,5x5,5x5,900x600px,3x2,300,inch
BELLA_CROPTOP_8882_PET,S,10x12,10x12,,,,900x600px,3x2,300,inch
BELLA_CROPTOP_8882_PET,M,10x12,10x12,,,,900x600px,3x2,300,inch
BELLA_CROPTOP_8882_PET,L,10x12,10x12,,,,900x600px,3x2,300,inch
BELLA_CROPTOP_8882_PET,XL,10x12,10x12,,,,900x600px,3x2,300,inch
BELLA_CROPTOP_8882_PET,2XL,10x12,10x12,,,,900x600px,3x2,300,inch
COMFORT_TSHIRT6030_PET,S,3.8x2.8,14x16,,,,900x600px,3x2,300,inch
COMFORT_TSHIRT6030_PET,M,3.8x2.8,14x16,,,,900x600px,3x2,300,inch
COMFORT_TSHIRT6030_PET,L,3.8x2.8,14x16,,,,900x600px,3x2,300,inch
COMFORT_TSHIRT6030_PET,XL,3.8x2.8,14x16,,,,900x600px,3x2,300,inch
COMFORT_TSHIRT6030_PET,2XL,3.8x2.8,14x16,,,,900x600px,3x2,300,inch
COMFORT_TSHIRT6030_PET,3XL,3.8x2.8,14x16,,,,900x600px,3x2,300,inch
MENTANK_BC3480_PET,XS,14x16,14x16,,,,900x600px,3x2,300,inch
MENTANK_BC3480_PET,S,14x16,14x16,,,,900x600px,3x2,300,inch
MENTANK_BC3480_PET,M,14x16,14x16,,,,900x600px,3x2,300,inch
MENTANK_BC3480_PET,L,14x16,14x16,,,,900x600px,3x2,300,inch
MENTANK_BC3480_PET,XL,14x16,14x16,,,,900x600px,3x2,300,inch
MENTANK_BC3480_PET,2XL,14x16,14x16,,,,900x600px,3x2,300,inch
