order_number,external_order_number,created,status,order_item_id,variant_title,color,imported_design,image
RQ-36368-34767,577111149450596796,19/09/2025,in production,68cd130db8225678dc8fa718,Comfort Color 1717 / SEAFOAM / 2XL,SEAFOAM,https://drive.google.com/uc?id=1_02PLJ64jFkfjrujVsoSGIhiDMUZ3LEQ&export=download,
RQ-36368-34767,577111149450596796,19/09/2025,in production,68cd130db8225696368fa71a,Comfort Color 1717 / SEAFOAM / L,SEAFOAM,https://drive.google.com/uc?id=1_02PLJ64jFkfjrujVsoSGIhiDMUZ3LEQ&export=download,
RZ-52246-59898,577111110467424878,19/09/2025,in production,68cd13350d43dacb962e9d67,Comfort Color 1717 / SEAFOAM / M,SEAFOAM,https://drive.google.com/uc?id=1_02PLJ64jFkfjrujVsoSGIhiDMUZ3LEQ&export=download,
RZ-52246-59898,577111110467424878,19/09/2025,in production,68cd13350d43da43542e9d69,Comfort Color 1717 / SEAFOAM / L,SEAFOAM,https://drive.google.com/uc?id=1_02PLJ64jFkfjrujVsoSGIhiDMUZ3LEQ&export=download,
RV-76864-72789,577111078459576412,19/09/2025,in production,68cd1335b82256ece58fa78f,Comfort Color 1717 / SEAFOAM / 2XL,SEAFOAM,https://drive.google.com/uc?id=1_02PLJ64jFkfjrujVsoSGIhiDMUZ3LEQ&export=download,
RZ-77682-48927,577111143500124920,19/09/2025,shipping,68cd133c08e90106f79f3979,Comfort Color 1717 / SEAFOAM / M,SEAFOAM,https://drive.google.com/uc?id=1_02PLJ64jFkfjrujVsoSGIhiDMUZ3LEQ&export=download,
RB-55945-53433,577111161814160225,19/09/2025,in production,68cd133c08e90109f19f3993,Comfort Color 1717 / SEAFOAM / 2XL,SEAFOAM,https://drive.google.com/uc?id=1_02PLJ64jFkfjrujVsoSGIhiDMUZ3LEQ&export=download,
RG-44269-85292,577111093829211008,19/09/2025,shipping,68cd13489baeeb7454a2fab0,Comfort Color 1717 / IVORY / M,IVORY,https://drive.google.com/uc?id=1_02PLJ64jFkfjrujVsoSGIhiDMUZ3LEQ&export=download,
RE-73799-44868,577111077217014678,19/09/2025,shipping,68cd13499baeeb5b73a2facc,Comfort Color 1717 / SEAFOAM / 3XL,SEAFOAM,https://drive.google.com/uc?id=1_02PLJ64jFkfjrujVsoSGIhiDMUZ3LEQ&export=download,
RJ-27682-85838,577111162528108871,19/09/2025,shipping,68cd13499baeeb6d95a2fae6,Comfort Color 1717 / SEAFOAM / 3XL,SEAFOAM,https://drive.google.com/uc?id=1_02PLJ64jFkfjrujVsoSGIhiDMUZ3LEQ&export=download,
RA-85758-42886,577111109847912918,19/09/2025,shipping,68cd13490d43da6ae02e9da3,Comfort Color 1717 / SEAFOAM / M,SEAFOAM,https://drive.google.com/uc?id=1_02PLJ64jFkfjrujVsoSGIhiDMUZ3LEQ&export=download,
RA-32985-24833,577111048629556034,19/09/2025,in production,68cd134b0d43da331b2e9dbd,Comfort Color 1717 / SEAFOAM / 2XL,SEAFOAM,https://drive.google.com/uc?id=1_02PLJ64jFkfjrujVsoSGIhiDMUZ3LEQ&export=download,
RE-26476-44324,577111112437829732,19/09/2025,shipping,68cd135008e90173459f39dd,Comfort Color 1717 / SEAFOAM / M,SEAFOAM,https://drive.google.com/uc?id=1_02PLJ64jFkfjrujVsoSGIhiDMUZ3LEQ&export=download,
RN-57667-89737,577111060501008555,19/09/2025,in production,68cd1359b8225677a68fa849,Comfort Color 1717 / SEAFOAM / 2XL,SEAFOAM,https://drive.google.com/uc?id=1_02PLJ64jFkfjrujVsoSGIhiDMUZ3LEQ&export=download,
RK-66655-37454,577111125349995061,19/09/2025,in production,68cd1359b82256225d8fa86d,Comfort Color 1717 / SEAFOAM / 2XL,SEAFOAM,https://drive.google.com/uc?id=1_02PLJ64jFkfjrujVsoSGIhiDMUZ3LEQ&export=download,
RB-28689-68842,577111111451644165,19/09/2025,in production,68cd136008e901cb2f9f3a14,Comfort Color 1717 / SEAFOAM / L,SEAFOAM,https://drive.google.com/uc?id=1_02PLJ64jFkfjrujVsoSGIhiDMUZ3LEQ&export=download,
RR-39764-43496,577111080133890289,19/09/2025,shipping,68cd136008e9016a309f3a30,Comfort Color 1717 / SEAFOAM / S,SEAFOAM,https://drive.google.com/uc?id=1_02PLJ64jFkfjrujVsoSGIhiDMUZ3LEQ&export=download,
RB-87664-57733,577110980363325749,19/09/2025,in production,68cd13690d43da96382e9e3a,Comfort Color 1717 / SEAFOAM / 2XL,SEAFOAM,https://drive.google.com/uc?id=1_02PLJ64jFkfjrujVsoSGIhiDMUZ3LEQ&export=download,
RR-44239-37548,577110972665532533,19/09/2025,shipping,68cd136a0d43dad3f52e9e56,Comfort Color 1717 / BAY / L,BAY,https://drive.google.com/file/d/1k8kVzeraS0vFmJj4PL6DI_RNNHJBIRuH/view,
RV-62287-78326,577110976345903973,19/09/2025,shipping,68cd13729baeebe266a2fb56,Comfort Color 1717 / SEAFOAM / XL,SEAFOAM,https://drive.google.com/uc?id=1_02PLJ64jFkfjrujVsoSGIhiDMUZ3LEQ&export=download,
RX-55925-35685,577111082021196415,19/09/2025,in production,68cd13739baeeb0aeda2fb70,Comfort Color 1717 / SEAFOAM / 2XL,SEAFOAM,https://drive.google.com/uc?id=1_02PLJ64jFkfjrujVsoSGIhiDMUZ3LEQ&export=download,
RZ-32967-92577,577111088023573116,19/09/2025,shipping,68cd13739baeeb877fa2fb8a,Comfort Color 1717 / SEAFOAM / XL,SEAFOAM,https://drive.google.com/uc?id=1_02PLJ64jFkfjrujVsoSGIhiDMUZ3LEQ&export=download,
RW-89962-94588,577110956430168885,19/09/2025,shipping,68cd13770d43da5a992e9e9c,Comfort Color 1717 / SEAFOAM / XL,SEAFOAM,https://drive.google.com/uc?id=1_02PLJ64jFkfjrujVsoSGIhiDMUZ3LEQ&export=download,
RJ-94225-57892,577111004395836007,19/09/2025,shipping,68cd1379b822563c1f8fa8c1,Comfort Color 1717 / SEAFOAM / S,SEAFOAM,https://drive.google.com/uc?id=1_02PLJ64jFkfjrujVsoSGIhiDMUZ3LEQ&export=download,
RG-87882-66335,577110992042692803,19/09/2025,shipping,68cd137908e90137779f3a7c,Comfort Color 1717 / SEAFOAM / 3XL,SEAFOAM,https://drive.google.com/uc?id=1_02PLJ64jFkfjrujVsoSGIhiDMUZ3LEQ&export=download,
RN-76945-33243,577110997656966131,19/09/2025,shipping,68cd137cb822564db98fa8e4,Comfort Color 1717 / SEAFOAM / 3XL,SEAFOAM,https://drive.google.com/uc?id=1_02PLJ64jFkfjrujVsoSGIhiDMUZ3LEQ&export=download,
RM-88963-33249,577110995760812927,19/09/2025,in production,68cd137cb82256f4a08fa8fe,Comfort Color 1717 / SEAFOAM / 2XL,SEAFOAM,https://drive.google.com/uc?id=1_02PLJ64jFkfjrujVsoSGIhiDMUZ3LEQ&export=download,
RP-79764-76838,577110997506298836,19/09/2025,in production,68cd138008e90109349f3aa1,Comfort Color 1717 / SEAFOAM / 2XL,SEAFOAM,https://drive.google.com/uc?id=1_02PLJ64jFkfjrujVsoSGIhiDMUZ3LEQ&export=download,
RE-94283-23667,577110908935442923,19/09/2025,shipping,68cd138208e90163399f3ac6,Comfort Color 1717 / SEAFOAM / XL,SEAFOAM,https://drive.google.com/uc?id=1_02PLJ64jFkfjrujVsoSGIhiDMUZ3LEQ&export=download,
RW-76644-96778,577110958634930657,19/09/2025,shipping,68cd13890d43da34072e9ee7,Comfort Color 1717 / SEAFOAM / XL,SEAFOAM,https://drive.google.com/uc?id=1_02PLJ64jFkfjrujVsoSGIhiDMUZ3LEQ&export=download,
RW-43848-35428,577110945336889549,19/09/2025,shipping,68cd13990d43daf1c12e9f31,Comfort Color 1717 / SEAFOAM / S,SEAFOAM,https://drive.google.com/uc?id=1_02PLJ64jFkfjrujVsoSGIhiDMUZ3LEQ&export=download,
RY-99445-97375,577110968653747185,19/09/2025,shipping,68cd13a608e90119f49f3b1d,Comfort Color 1717 / SEAFOAM / XL,SEAFOAM,https://drive.google.com/uc?id=1_02PLJ64jFkfjrujVsoSGIhiDMUZ3LEQ&export=download,
RE-57266-33666,577111189711655876,19/09/2025,in production,68cd13aa08e9016e1f9f3b3c,Comfort Color 1717 / SEAFOAM / M,SEAFOAM,https://drive.google.com/uc?id=1_02PLJ64jFkfjrujVsoSGIhiDMUZ3LEQ&export=download,
RE-57266-33666,577111189711655876,19/09/2025,in production,68cd13aa08e90145669f3b3e,Comfort Color 1717 / SEAFOAM / L,SEAFOAM,https://drive.google.com/uc?id=1_02PLJ64jFkfjrujVsoSGIhiDMUZ3LEQ&export=download,
RE-42598-68598,577111169721734070,19/09/2025,in production,68cd13aa08e90137009f3b57,Comfort Color 1717 / SEAFOAM / L,SEAFOAM,https://drive.google.com/uc?id=1_02PLJ64jFkfjrujVsoSGIhiDMUZ3LEQ&export=download,
RJ-53578-86977,577111167434724053,19/09/2025,shipping,68cd13ac0d43da451e2e9f55,Comfort Color 1717 / BAY / S,BAY,https://drive.google.com/file/d/1k8kVzeraS0vFmJj4PL6DI_RNNHJBIRuH/view,
RB-55877-65437,577111002952601674,19/09/2025,shipping,68cd13ad9baeebee9fa2fc0f,Comfort Color 1717 / SEAFOAM / 3XL,SEAFOAM,https://drive.google.com/uc?id=1_02PLJ64jFkfjrujVsoSGIhiDMUZ3LEQ&export=download,
RG-39338-29292,577110956280549533,19/09/2025,shipping,68cd161c0d43dabc182ea2c1,Comfort Color 1717 / SEAFOAM / XL,SEAFOAM,https://drive.google.com/uc?id=1_02PLJ64jFkfjrujVsoSGIhiDMUZ3LEQ&export=download,
RK-84965-49762,577110947617476632,19/09/2025,shipping,68cd181c08e901fa6a9f41c4,Comfort Color 1717 / SEAFOAM / S,SEAFOAM,https://drive.google.com/uc?id=1_02PLJ64jFkfjrujVsoSGIhiDMUZ3LEQ&export=download,
RM-28778-92992,577110952815399298,19/09/2025,shipping,68cd1c6408e9016be29f49ee,Comfort Color 1717 / SEAFOAM / XL,SEAFOAM,https://drive.google.com/uc?id=1_02PLJ64jFkfjrujVsoSGIhiDMUZ3LEQ&export=download,
RX-48346-25233,577110951425315504,19/09/2025,shipping,68cd1c749baeeb8311a309e3,Comfort Color 1717 / SEAFOAM / XL,SEAFOAM,https://drive.google.com/uc?id=1_02PLJ64jFkfjrujVsoSGIhiDMUZ3LEQ&export=download,
RM-99937-72434,577110959216890259,19/09/2025,shipping,68cd1cb70d43da41512eb1aa,Comfort Color 1717 / BAY / 3XL,BAY,https://drive.google.com/file/d/1k8kVzeraS0vFmJj4PL6DI_RNNHJBIRuH/view,
RP-53477-78392,577110989377802936,19/09/2025,shipping,68cd1ef39baeeb9ed1a30d43,Comfort Color 1717 / FLOBLUE / S,FLOBLUE,https://drive.google.com/uc?id=1_02PLJ64jFkfjrujVsoSGIhiDMUZ3LEQ&export=download,
